Produkt,Datum,prognose,lo80,hi80,lo95,hi95
Schokoladentafel,2025-07-01,142.76851144562545,132.00621941609023,155.32975906439756,126.91202664668164,162.86518270721794
Schokoladentafel,2025-08-01,143.72652651508017,132.64080534871243,156.71560123056045,127.40742963832487,164.53364448349214
Schokoladentafel,2025-09-01,144.6969899326306,133.28488746340622,158.12041983126727,127.91165030344207,166.22685921209
Schokoladentafel,2025-10-01,145.68006029280136,133.93836755208116,159.54476931581465,128.42448463053103,167.9456952375133
Schokoladentafel,2025-11-01,146.67593933343744,134.60120542221995,160.98923529602195,128.94579457998591,169.69104939800914
Schokoladentafel,2025-12-01,147.68485372200092,135.2733954205707,162.45442326851835,129.47548230110118,171.46384044476895
Schokoladentafel,2026-01-01,148.70704594511196,135.954954242262,163.9409535738822,130.01347657102627,173.2650068347667
Schokoladentafel,2026-02-01,149.7427698048071,136.64591445233344,165.44945952385353,130.5597254241413,175.09550676693664
Schokoladentafel,2026-03-01,150.7922882482629,137.3463209221407,166.98058712355854,131.11419195183197,176.9563193521971
Schokoladentafel,2026-04-01,151.85587238177823,138.05622877223715,168.53499558720915,131.67685175449358,178.8484463473525
Schokoladentafel,2026-05-01,152.93380108810524,138.77570210969023,170.11335824222195,132.24769127788693,180.7729141658555
Schokoladentafel,2026-06-01,154.02636095348822,139.50481319748062,171.7163636199177,132.82670664195933,182.7307760256742
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2025-07-01,137.4291223953213,126.07173284147807,150.9017695208066,120.75489109300756,159.09760976982201
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2025-08-01,138.24833720762706,126.30484709294713,152.53697417368605,120.7455405479329,161.29351625984972
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2025-09-01,139.07688004259776,126.55742271100287,154.17904287405466,120.76226963333798,163.50133312318704
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2025-10-01,139.914908272568,126.82757905636757,155.8304405558712,120.80217382490783,165.72501603317926
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2025-11-01,140.76258279738934,127.11378378731557,157.4933017436609,120.8628780547157,167.96803105062128
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2025-12-01,141.62006814326708,127.41477223756057,159.1695118742611,120.94241384314805,170.23347940573566
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2026-01-01,142.4875325649401,127.72948922052451,160.86076622547606,121.03913062374735,172.5241881985501
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",2026-02-01,143.36514815130823,128.0570461000832,162.568613613436,121.1516303396935,174.8427779466257
