Produkt,n,mean_mom,median_mom,sd_mom,min_mom,max_mom,start_preis,end_preis,preisanstieg_pct,Kategorie
Schwarzer Tee oder grüner Tee,60,0.8394367957681812,0.1991040811876732,5.055305418560842,-1.3875123885034757,39.16146297948262,100.3,156,55.53339980059822,"Kaffee, Tee & Kakao"
Instantkaffee oder Ähnliches,60,0.7717561885453781,0.29821338758747595,3.4662161003683596,-3.1807602792862766,25.100887812752216,100.8,155,53.76984126984128,"Kaffee, Tee & Kakao"
Kaffeepads oder Kaffeekapseln,66,0.6626739947017727,0.5772404163493228,1.8464261809622773,-2.371541501976282,10.389610389610391,100,153,53,"Kaffee, Tee & Kakao"
Dosensuppe,66,0.6542659537881783,0.406092415354542,2.071278803289343,-5.636743215031315,9.02111324376198,96.9,147,51.702786377708975,Sonstige Nahrungsmittel
Sportriegel,66,0.6811422750581239,0.2779723864529515,3.807912775552912,-1.668129938542584,30.696474634565774,101,152,50.495049504950494,Sonstige Nahrungsmittel
"Tortenguss, Gelatine oder Ähnliches",66,0.6531890954653334,0.10030736107128346,2.7378209892904453,-2.985074626865669,17.50972762645915,100.5,151,50.24875621890548,Sonstige Nahrungsmittel
Bohnenkaffee,66,0.6360072857264749,0.19846875439529787,1.966786807945592,-3.526645768025083,5.987611837577411,102.6,154,50.097465886939574,"Kaffee, Tee & Kakao"
Fertignahrung für Säuglinge oder Kleinkinder,66,0.6045766456615418,0.4741215669427423,1.007016324055554,-1.2757605495584023,5.8122205663189375,95.7,142,48.38035527690701,Sonstige Nahrungsmittel
"Vitamintabletten, Magnesiumtabletten o.Ä.",60,0.72074367988755,0.1973417760954499,4.2146471861046155,-2.450980392156865,32.391879964695505,101.8,150,47.347740667976424,Sonstige Nahrungsmittel
Fertigsuppe im Beutel oder Instantbrühe,60,0.6764606331788465,0.3140845763796585,2.7087940828650727,-3.659742828882284,17.269076305220878,99.4,146,46.88128772635813,Sonstige Nahrungsmittel
"Backpulver, Vanillezucker oder Ähnliches",66,0.5878609716924114,0.132100453931705,2.229317850649608,-4.21994884910486,9.388839681133732,102.1,148,44.95592556317336,Sonstige Nahrungsmittel
Fertiggericht aus Fleisch oder Fisch,66,0.5790895370384804,0.2951464166253692,1.859205508318716,-1.87561697926949,13.65430149960536,99.4,144,44.8692152917505,Sonstige Nahrungsmittel
Puddingpulver,60,0.6407938208072558,0.17430745586085594,2.459045893859354,-4.479065238558921,12.622826908541176,103.3,149,44.24007744433689,Sonstige Nahrungsmittel
"Sandwich, Wrap oder Ähnliches",66,0.5816515255727521,0,3.083261724656284,-2.364532019704435,23.614663256606995,101.6,145,42.71653543307088,Sonstige Nahrungsmittel
"Säuglingsmilchnahrung, Pulverform",66,0.536635157185594,0.22106784203558272,1.6991868101245329,-0.9811937857726938,13.435237329042636,99.9,141,41.141141141141134,Sonstige Nahrungsmittel
Verzehrfertige Salate,66,0.532744297070136,0.12842773344199365,1.6967186545604571,-1.8774703557312256,10.852713178294572,101.6,143,40.74803149606301,Sonstige Nahrungsmittel
Gewürze,60,0.5805404265484851,0,2.901490124236961,-1.5857284440039754,21.95121951219512,101.1,140,38.47675568743818,Sonstige Nahrungsmittel
Tiefgefrorene Küchenkräuter,60,0.5527283063449602,0.27305586196029186,1.7202889619683808,-3.2180209171359664,9.881422924901194,100.7,139,38.03376365441906,Sonstige Nahrungsmittel
Speisesalz,66,0.4925293609618602,0.2208900109212264,1.6301419810607465,-2.845927379784108,10.6741573033708,100.6,138,37.17693836978131,Sonstige Nahrungsmittel
Mayonnaise,60,0.5459232228112578,0.3872100141167234,2.227703796624127,-10.749185667752448,6.72268907563025,100.3,137,36.59022931206381,Sonstige Nahrungsmittel
"Soßenpulver, Soßenbinder oder Ähnliches",66,0.4774806154322586,0.4762854494398505,1.7887533151431925,-3.5847647498133073,4.8526863084922045,99.6,135,35.54216867469879,Sonstige Nahrungsmittel
"Grillsoße, Sojasoße, Salatdressing oder Ähnliches",66,0.4542449706482981,0.570403907631889,1.7079659380897594,-6.336088154269969,5.373635600335858,101.8,136,33.595284872298635,Sonstige Nahrungsmittel
Senf,60,0.49825670736880834,0.29658781109841437,1.759838564743479,-6.535488404778644,7.692307692307687,99.6,133,33.534136546184754,Sonstige Nahrungsmittel
Tomatenketchup oder Gewürzketchup,66,0.4553025416291694,0.24427665393941256,2.5560052230796684,-8.344733242134051,9.79757085020243,101.4,134,32.1499013806706,Sonstige Nahrungsmittel
Essig,66,0.4140363711187987,0.32550077927093746,1.1162975498157444,-4.1394335511982465,3.707224334600756,100.9,132,30.822596630327048,Sonstige Nahrungsmittel
Speiseeis,66,0.40777858236242215,0.5363120764538376,1.496725032805972,-3.1339031339031265,4.231433506044913,100.1,130,29.87012987012987,Zucker & Süßwaren
Süßstoff,66,0.4300063986565896,0,3.1201835713376576,-8.27366746221162,16.34103019538189,101.7,131,28.810226155358887,Zucker & Süßwaren
"Kaugummi, Gummibärchen oder Ähnliches",66,0.3876191479998249,0.4049106914812195,1.722418655018788,-5.770635500365229,4.526315789473689,100.9,129,27.84935579781962,Zucker & Süßwaren
Bonbons,66,0.37324916545351494,0.1782672801687979,1.3953632800121325,-1.8811881188118829,10.060189165950128,100.7,128,27.110228401191662,Zucker & Süßwaren
Riegel oder andere Erzeugnisse aus Schokolade,66,0.43191628599882104,0.5603681276113326,3.4939778253985136,-25.399644760213143,4.307116104868913,99.3,126,26.88821752265862,Zucker & Süßwaren
Brotaufstrich auf Nougatbasis,66,0.3678712592952294,0.3994017946161499,1.5693849254553298,-6.556141672946492,4.056795131845847,98.1,124,26.40163098878696,Zucker & Süßwaren
Schokoladentafel,66,0.4567859571839016,0.4945772611867016,4.520788557108312,-24.10443230115361,14.762611275964366,99.3,125,25.88116817724069,Zucker & Süßwaren
