Produkt,Kategorie,Risikogruppe,preisanstieg_pct,modell,aic,bic,rmse,mae,mape
Gewürze,Sonstige Nahrungsmittel,stabil,13.550939663699314,"ARIMA(1,1,1)",-714.4741608297859,-708.9237180246557,0.6170641268234159,0.567117764685752,0.49325035085326346
"Grieß, Roggenmehl oder Ähnliches",Getreide & Backwaren,hoch,41.46100691016783,"ARIMA(0,1,1) with drift",736.4278506552042,742.3387263958606,3.9319738854594353,3.6660562861979145,2.5863900336931773
"Grillsoße, Sojasoße, Salatdressing oder Ähnliches",Sonstige Nahrungsmittel,hoch,42.63261296660117,"ARIMA(1,1,1)",-744.1681804337732,-738.2573046931168,7.026608466449425,6.7484825020596775,4.560825799994551
Gurken,Gemüse & Gemüsekonserven,stabil,-0.8973080757726737,"ARIMA(0,1,1)(1,1,0)[12]",-366.20135261851703,-361.0606364184041,14.939719109112302,11.936465212329777,9.295301055296967
Gurkenkonserve,Gemüse & Gemüsekonserven,hoch,43.232323232323246,"ARIMA(1,1,0) with drift",-762.9846156131854,-757.073739872529,7.371340458538839,5.960320973140952,4.1497885268407275
Gyros oder andere fertige Fleischpfanne,Fleisch & Wurst,mittel,36.29707112970713,"ARIMA(0,1,0) with drift",714.4410322330773,718.3816160601815,3.1693782832709303,2.7494795400551646,2.1478335955042582
Haferflocken,Getreide & Backwaren,mittel,37.3253493013972,"ARIMA(0,1,0) with drift",-615.9664092279509,-612.2661140245308,7.992791021412032,6.49420085748465,4.703131176504795
Hartkäse,Milch & Milchgetränke,mittel,40.07976071784647,"ARIMA(1,1,0)",-745.1569682257523,-741.2163843986481,4.4299457834527125,3.5142222244968955,2.5702532929596593
Hefegebäck,Getreide & Backwaren,mittel,31.82275931520646,"ARIMA(0,2,3)",-727.7102099925029,-720.3956444065465,0.8881017638997223,0.8730261771611817,0.6696103717584264
Honig,Zucker & Süßwaren,stabil,10.079051383399218,"ARIMA(1,1,1)",-760.8538059916916,-754.94293025103525,4.859864737887092,3.9613364331795844,3.48197478003702
"Hülsenfrüchte, Spargel, Radieschen oder Ähnliches",Gemüse & Gemüsekonserven,mittel,29.63340122199591,"ARIMA(1,0,0)(1,1,0)[12] with drift",38.51317455665095,44.84725031047539,8.54173100596279,7.6063256351542625,6.065474947179124
Instantkaffee oder Ähnliches,"Kaffee, Tee & Kakao",stabil,22.916666666666675,"ARIMA(2,1,0)",-670.2757993282614,-664.7253565231313,2.009590463305552,1.7861903125706238,1.4320188487125303
Joghurt,Milch & Milchgetränke,mittel,30.059523809523817,"ARIMA(2,1,0)",-714.8774813878949,-708.9666056472386,1.2641340097897924,0.9629944854038305,0.7241592003419097
"Kabeljau oder Lachs, frisch oder gekühlt",Fisch & Meeresfrüchte,stabil,22.44897959183674,"ARIMA(0,1,0) with drift",-649.0765308686468,-645.3762356652268,4.997818360002537,3.9751255491955653,3.110277368463106
Kaffeepads oder Kaffeekapseln,"Kaffee, Tee & Kakao",mittel,38.59999999999999,"ARIMA(0,1,0) with drift",708.4592990710047,712.3998828981089,5.324876343853966,3.7101972562963064,2.7332432377705373
