Produkt,Kategorie,Risikogruppe,r_cpi_niveau,r_cpi_mom
Fischstäbchen o.a. tiefgefrorene Fischzubereitung,Fisch & Meeresfrüchte,mittel,0.9274692476333479,0.25025260819527695
Bohnenkaffee,"Kaffee, Tee & Kakao",hoch,0.9270612013959413,0.22903531823285456
"Sandwich, Wrap oder Ähnliches",Sonstige Nahrungsmittel,stabil,0.9237015173986809,-0.14665745105899206
Kakaopulver oder Ähnliches,"Kaffee, Tee & Kakao",hoch,0.9170810970740056,0.18883537409583728
Weizenmehl,Getreide & Backwaren,hoch,0.9149036362796055,0.11544384142409242
Vollmilch,Milch & Milchgetränke,mittel,0.9107374061206202,0.21512391086371574
Trockenobst,Obst & Obstkonserven,mittel,0.9104666854172846,0.11473072043493404
Tiefgefrorene Meeresfrüchte,Fisch & Meeresfrüchte,stabil,0.9079167759990368,0.28746575392164864
Multivitaminsaft,Säfte & Softdrinks,hoch,0.906174561275792,0.20931560617540335
Orangensaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,hoch,0.8862862835863023,0.028299241898815067
"Feldsalat, Lauch, Sellerie oder Ähnliches",Gemüse & Gemüsekonserven,mittel,0.8828657030187983,0.15422994071341878
"Kiwis, Melonen oder Ähnliches",Obst & Obstkonserven,stabil,0.8788658854912813,0.23831364586689127
Pralinen,Zucker & Süßwaren,mittel,0.8781516486726609,0.12916114561660658
Olivenöl,Öle & Fette,hoch,0.8776791743575282,0.059108458047231444
Schokoladentafel,Zucker & Süßwaren,hoch,0.8573815207988699,0.21529727354622707
Honig,Zucker & Süßwaren,stabil,0.845612375096074,0.14076485646337453
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",Milch & Milchgetränke,stabil,0.843167620309405,0.14134170082851058
"Erdbeeren, Himbeeren, Stachelbeeren oder Ähnliches",Obst & Obstkonserven,mittel,0.8309253781656418,0.03817013436282613
Tiefgefrorenes Obst,Obst & Obstkonserven,stabil,0.821743475757403,0.26214536797468235
"Blumenkohl, Wirsing oder anderer Kohl",Gemüse & Gemüsekonserven,mittel,0.8193459522762503,-0.03545173076285501
Energy-Drinks,Säfte & Softdrinks,stabil,0.8046610048806235,0.04163631354845367
Zucker,Zucker & Süßwaren,mittel,0.8003756720741625,0.06660903144946424
Kartoffeln,Gemüse & Gemüsekonserven,hoch,0.7959498978193175,0.09510418135962323
"Süße Mandeln, Kokosraspeln oder Ähnliches",Obst & Obstkonserven,stabil,0.7922423680162487,-0.0979854140340521
Süßstoff,Zucker & Süßwaren,stabil,0.7817207782365739,0.11734478169701293
"Hülsenfrüchte, Spargel, Radieschen oder Ähnliches",Gemüse & Gemüsekonserven,mittel,0.7541740345874417,0.004614718087932042
"Sonnenblumenöl, Rapsöl oder Ähnliches",Öle & Fette,hoch,0.7513418277945475,0.21232592159827857
